description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
-> perfect ruby	1			0					3	"glr,qty=3"							gpr																																																																																							0
-> flawed sapphire	1			0					3	"gcb,qty=3"							gfb																																																																																							0
-> standard sapphire	1			0					3	"gfb,qty=3"							gsb																																																																																							0
-> flawless sapphire	1			0					3	"gsb,qty=3"							glb																																																																																							0
-> perfect sapphire	1			0					3	"glb,qty=3"							gpb																																																																																							0
-> flawed topaz	1			0					3	"gcy,qty=3"							gfy																																																																																							0
-> standard topaz	1			0					3	"gfy,qty=3"							gsy																																																																																							0
-> flawless topaz	1			0					3	"gsy,qty=3"							gly																																																																																							0
-> perfect topaz	1			0					3	"gly,qty=3"							gpy																																																																																							0
-> flawed emerald	1			0					3	"gcg,qty=3"							gfg																																																																																							0
-> standard emerald	1			0					3	"gfg,qty=3"							gsg																																																																																							0
-> flawless emerald	1			0					3	"gsg,qty=3"							glg																																																																																							0
-> perfect emerald	1			0					3	"glg,qty=3"							gpg																																																																																							0
-> flawed diamond	1			0					3	"gcw,qty=3"							gfw																																																																																							0
-> standard diamond	1			0					3	"gfw,qty=3"							gsw																																																																																							0
-> flawless diamond	1			0					3	"gsw,qty=3"							glw																																																																																							0
-> perfect diamond	1			0					3	"glw,qty=3"							gpw																																																																																							0
-> flawed skull	1			0					3	"skc,qty=3"							skf																																																																																							0
-> standard skull	1			0					3	"skf,qty=3"							sku																																																																																							0
-> flawless skull	1			0					3	"sku,qty=3"							skl																																																																																							0
-> perfect skull	1			0					3	"skl,qty=3"							skz																																																																																							0
-> rune 02	1			100					3	"r01,qty=3"							r02																																																																																							0
-> rune 03	1			100					3	"r02,qty=3"							r03																																																																																							0
-> rune 04	1			100					3	"r03,qty=3"							r04																																																																																							0
-> rune 05	1			100					3	"r04,qty=3"							r05																																																																																							0
-> rune 06	1			100					3	"r05,qty=3"							r06																																																																																							0
-> rune 07	1			100					3	"r06,qty=3"							r07																																																																																							0
-> rune 08	1			100					3	"r07,qty=3"							r08																																																																																							0
-> rune 09	1			100					3	"r08,qty=3"							r09																																																																																							0
-> rune 10	1			100					3	"r09,qty=3"							r10																																																																																							0
-> rune 11	1			100					4	"r10,qty=3"	gcy						r11																																																																																							0
-> rune 12	1			100					4	"r11,qty=3"	gcv						r12																																																																																							0
-> rune 13	1			100					4	"r12,qty=3"	gcb						r13																																																																																							0
-> rune 14	1			100					4	"r13,qty=3"	gcr						r14																																																																																							0
-> rune 15	1			100					4	"r14,qty=3"	gcg						r15																																																																																							0
-> rune 16	1			100					4	"r15,qty=3"	gcw						r16																																																																																							0
-> rune 17	1			100					4	"r16,qty=3"	gfy						r17																																																																																							0
-> rune 18	1			100					4	"r17,qty=3"	gfv						r18																																																																																							0
-> rune 19	1			100					4	"r18,qty=3"	gfb						r19																																																																																							0
-> rune 20	1			100					4	"r19,qty=3"	gfr						r20																																																																																							0
-> rune 21	1			100					4	"r20,qty=3"	gfg						r21																																																																																							0
-> rune 22	1			100					3	"r21,qty=2"	gfw						r22																																																																																							0
-> rune 23	1			100					3	"r22,qty=2"	gsy						r23																																																																																							0
-> rune 24	1			100					3	"r23,qty=2"	gsv						r24																																																																																							0
-> rune 25	1			100					3	"r24,qty=2"	gsb						r25																																																																																							0
-> rune 26	1			100					3	"r25,qty=2"	gsr						r26																																																																																							0
-> rune 27	1			100					3	"r26,qty=2"	gsg						r27																																																																																							0
-> rune 28	1			100					3	"r27,qty=2"	gsw						r28																																																																																							0
-> rune 29	1			100					3	"r28,qty=2"	gly						r29																																																																																							0
-> rune 30	1			100					3	"r29,qty=2"	gzv						r30																																																																																							0
-> rune 31	1			100					3	"r30,qty=2"	glb						r31																																																																																							0
-> rune 32	1			100					3	"r31,qty=2"	glr						r32																																																																																							0
-> rune 33	1			100					3	"r32,qty=2"	glg						r33																																																																																							0
the stone of jordan	1			100					3	"r33,qty=2"	glw						The Stone of Jordan	99																																																																																						0
rune 02 -> rune 01	1			100					1	r02							r01																																																																																							0
rune 03 -> rune 02	1			100					1	r03							r02																																																																																							0
rune 04 -> rune 03	1			100					1	r04							r03																																																																																							0
rune 05 -> rune 04	1			100					1	r05							r04																																																																																							0
rune 06 -> rune 05	1			100					1	r06							r05																																																																																							0
rune 07 -> rune 06	1			100					1	r07							r06																																																																																							0
rune 08 -> rune 07	1			100					1	r08							r07																																																																																							0
rune 09 -> rune 08	1			100					1	r09							r08																																																																																							0
rune 10 -> rune 09	1			100					1	r10							r09																																																																																							0
rune 11 -> rune 10	1			100					1	r11							r10																																																																																							0
rune 12 -> rune 11	1			100					1	r12							r11																																																																																							0
rune 13 -> rune 12	1			100					1	r13							r12																																																																																							0
rune 14 -> rune 13	1			100					1	r14							r13																																																																																							0
rune 15 -> rune 14	1			100					1	r15							r14																																																																																							0
rune 16 -> rune 15	1			100					1	r16							r15																																																																																							0
rune 17 -> rune 16	1			100					1	r17							r16																																																																																							0
rune 18 -> rune 17	1			100					1	r18							r17																																																																																							0
rune 19 -> rune 18	1			100					1	r19							r18																																																																																							0
rune 20 -> rune 19	1			100					1	r20							r19																																																																																							0
rune 21 -> rune 20	1			100					1	r21							r20																																																																																							0
rune 22 -> rune 21	1			100					1	r22							r21																																																																																							0
rune 23 -> rune 22	1			100					1	r23							r22																																																																																							0
rune 24 -> rune 23	1			100					1	r24							r23																																																																																							0
rune 25 -> rune 24	1			100					1	r25							r24																																																																																							0
rune 26 -> rune 25	1			100					1	r26							r25																																																																																							0
rune 27 -> rune 26	1			100					1	r27							r26																																																																																							0
rune 28 -> rune 27	1			100					1	r28							r27																																																																																							0
rune 29 -> rune 28	1			100					1	r29							r28																																																																																							0
rune 30 -> rune 29	1			100					1	r30							r29																																																																																							0
rune 31 -> rune 30	1			100					1	r31							r30																																																																																							0
rune 32 -> rune 31	1			100					1	r32							r31																																																																																							0
rune 33 -> rune 32	1			100					1	r33							r32																																																																																							0
rare -> rune	1			100					1	"any,rar"							r06																																																																																							0
-> repair	1			100					2	"weap,noe"	r09						"useitem,rep,qty=255"																																																																																							0
-> repair	1			100					2	"armo,noe"	r08						"useitem,rep,qty=255"																																																																																							0
-> repair + recharge	1			100					3	"weap,noe"	r09	gem0					"useitem,rep,rch,qty=255"																																																																																							0
-> repair + recharge	1			100					3	"armo,noe"	r08	gem1					"useitem,rep,rch,qty=255"																																																																																							0
repair and recharge weapon	1			100					4	weap	"hpot,qty=3"						"useitem,rep,rch,qty=255"																																																																																							0
-> socketed torso	1			100					4	"tors,nor,nos"	r07	r10	gpy				useitem				sock			1	6																																																																															0
-> socketed weapon	1			100					4	"weap,nor,nos"	r08	r11	gpv				useitem				sock			1	6																																																																															0
-> socketed helm	1			100					4	"helm,nor,nos"	r08	r10	gpb				useitem				sock			1	6																																																																															0
-> socketed shield	1			100					4	"shld,nor,nos"	r07	r11	gpr				useitem				sock			1	6																																																																															0
-> socketed, magic weapon	1			0					4	"weap,mag"	"gem0,qty=3"						"usetype,mag"	25		50	sock			1	2																																																																															0
-> magic, socketable weapon	1			0					4	"weap,sock"	"gem2,qty=3"						"usetype,mag"	30		60	sock			1	2																																																																															0
-> socketed, magic weapon	1			0					4	"weap,mag"	"gem3,qty=3"						"usetype,mag"	30		60	sock			1	2																																																																															0
-> add 1 socket to rare	1			0					5	"any,rar,nos"	"skz,qty=3"	The Stone of Jordan					"useitem,sock=1"																																																																																							0
2 sockets weapon	1			100					4	weap	"r02,qty=3"						"useitem,sock=2"																																																																																							0
3 sockets weapon	1			100					4	weap	"r03,qty=3"						"useitem,sock=3"																																																																																							0
4 sockets weapon	1			100					4	weap	"r04,qty=3"						"useitem,sock=4"																																																																																							0
5 sockets weapon	1			100					4	weap	"r05,qty=3"						"useitem,sock=5"																																																																																							0
6 sockets weapon	1			100					4	weap	"r06,qty=3"						"useitem,sock=6"																																																																																							0
2 sockets armor	1			100					4	armo	"r02,qty=3"						"useitem,sock=2"																																																																																							0
3 sockets armor	1			100					4	armo	"r03,qty=3"						"useitem,sock=3"																																																																																							0
4 sockets armor	1			100					4	armo	"r04,qty=3"						"useitem,sock=4"																																																																																							0
5 sockets armor	1			100					4	armo	"r05,qty=3"						"useitem,sock=5"																																																																																							0
6 sockets armor	1			100					4	armo	"r06,qty=3"						"useitem,sock=6"																																																																																							0
-> unsocket (destroy gems)	1			100					3	"any,sock"	r15	tsc					"useitem,uns"																																																																																							0
destroy gems	1			100					4	"any,sock"	"wms,qty=3"						"useitem,uns"																																																																																							0
-> normal weapon	1			100					3	"weap,low"	r02	gem0					"usetype,nor"																																																																																							0
-> normal armor	1			100					3	"armo,low"	r01	gem0					"usetype,nor"																																																																																							0
normal weapon	1			100					4	weap	"r01,qty=3"						"usetype,hiq"	99																																																																																						0
normal armor	1			100					4	armo	"r01,qty=3"						"usetype,hiq"	99																																																																																						0
-> exceptional unique weapon	1			100					4	"weap,bas,uni"	r08	r12	gpg				"useitem,mod,exc"				levelreq			5	5																																																																															0
-> exceptional unique armor	1			100					4	"armo,bas,uni"	r07	r13	gpw				"useitem,mod,exc"				levelreq			5	5																																																																															0
-> exceptional rare weapon	1			100					4	"weap,bas,rar"	r09	r11	gpb				"useitem,mod,exc"				levelreq			5	5																																																																															0
-> exceptional rare armor	1			100					4	"armo,bas,rar"	r08	r10	gpv				"useitem,mod,exc"				levelreq			5	5																																																																															0
exceptional weapon	1			100					4	"weap,bas"	"r09,qty=3"						"useitem,mod,exc"				levelreq			5	5																																																																															0
exceptional armor	1			100					4	"armo,bas"	"r09,qty=3"						"useitem,mod,exc"				levelreq			5	5																																																																															0
-> elite unique weapon	1			100					4	"weap,exc,uni"	r17	r21	gpg				"useitem,mod,eli"				levelreq			7	7																																																																															0
-> elite unique armor	1			100					4	"armo,exc,uni"	r18	r20	gpw				"useitem,mod,eli"				levelreq			7	7																																																																															0
-> elite rare weapon	1			100					4	"weap,exc,rar"	r19	r22	gpb				"useitem,mod,eli"				levelreq			7	7																																																																															0
-> elite rare armor	1			100					4	"armo,exc,rar"	r18	r21	gpv				"useitem,mod,eli"				levelreq			7	7																																																																															0
elite weapon	1			100					4	"weap,exc"	"r09,qty=3"						"useitem,mod,eli"				levelreq			7	7																																																																															0
elite armor	1			100					4	"armo,exc"	"r09,qty=3"						"useitem,mod,eli"				levelreq			7	7																																																																															0
-> tempered weapon	1			100					3	"weap,hiq,nos"	jew	r08					"useitem,tmp"																																																																																							0
-> tempered armor	1			100					3	"armo,hiq,nos"	jew	r08					"useitem,tmp"																																																																																							0
-> tempered ring	1			100					3	"ring,mag"	jew	r08					"usetype,tmp"				levelreq			3	3																																																																															0
-> tempered amulet	1			100					3	"amu,mag"	jew	r08					"usetype,tmp"				levelreq			5	5																																																																															0
tempered weapon	1			100					4	weap	hp1	mp1	rvs				"usetype,tmp,sock=6"	99			dmg%			80	80	allskills			3	3																																																																										0
tempered javelins, throwing weapons	1			100					4	weap	hp1	mp1	rvs				"usetype,tmp"	99			dmg%			80	80	allskills			3	3																																																																										0
tempered helm, body, shield	1			100					4	armo	hp1	mp1	rvs				"usetype,tmp,sock=6"	99			ac%			65	65																																																																															0
tempered gloves, boots, belt	1			100					4	armo	hp1	mp1	rvs				"usetype,tmp"	99			ac%			65	65																																																																															0
tempered amulet	1			100					4	amu	hp1	mp1	rvs				"usetype,tmp"	99			dmg-to-mana			12	12																																																																															0
tempered ring	1			100					4	rin	hp1	mp1	rvs				"usetype,tmp"	99			att%			5	5																																																																															0
tempered charm	1			100					4	char	hp1	mp1	rvs				"usetype,tmp"	99			light			5	5																																																																															0
-> +30-50 ar	1			100					3	"weap,tmp"	r01	gcv					useitem				levelreq			2	2	att			30	50																																																																										0
fire damage weapon	1			100					4	"weap,tmp"	"gemr,qty=3"						useitem				fire-min			3	3	fire-max			4	4																																																																										0
cold damage weapon	1			100					4	"weap,tmp"	"gems,qty=3"						useitem				cold-min			1	1	cold-max			3	3	cold-len			25	25																																																																					0
lightning damage weapon	1			100					4	"weap,tmp"	"gemt,qty=3"						useitem				ltng-min			1	1	ltng-max			8	8																																																																										0
poison damage weapon	1			100					4	"weap,tmp"	"geme,qty=3"						useitem				pois-min			34	34	pois-max			34	34	pois-len			75	75																																																																					0
steal life and mana weapon	1			100					4	"weap,tmp"	"gemz,qty=3"						useitem				lifesteal			2	2	manasteal			1	1																																																																										0
defense shield	1			100					4	"shld,tmp"	"gema,qty=3"						useitem				ac			8	8																																																																															0
attack ratings helm	1			100					4	"helm,tmp"	"isc,qty=3"						useitem				att			20	20																																																																															0
attacker takes damage torso	1			100					2	"tors,tmp"	aqv						useitem				thorns			4	4																																																																															0
replenish life and regenerate mana belt	1			100					4	"belt,tmp"	"tsc,qty=3"						useitem				regen			2	2	regen-mana			8	8																																																																										0
damage gloves	1			100					2	"glov,tmp"	cqv						useitem				dmg-min			1	1	dmg-max			2	2																																																																										0
faster move velocity boots	1			100					4	"boot,tmp"	"vps,qty=3"						useitem				move1			10	10																																																																															0
all skills amulet	1			100					4	"amu,tmp"	"gemd,qty=3"						useitem				allskills			1	1																																																																															0
all resist ring	1			100					4	"rin,tmp"	"yps,qty=3"						useitem				res-all			6	6																																																																															0
magic find small charm	1			100					2	"cm1,tmp"	key						useitem				mag%			9	9																																																																															0
-> magic item	1			100					4	"any,mag"	"gem4,qty=3"						"usetype,mag"			100																																																																																				0
-> prismatic amulet	1			0					7	"amu,mag"	gpv	gpy	gpb	gpg	gpr	gpw	"amu,mag,pre=331"	50																																																																																						0
-> garnet ring	1			0					3	"rin,mag"	gpr	opm					"rin,mag,pre=372"	30																																																																																						0
-> cobalt ring	1			0					3	"rin,mag"	gpb	wms					"rin,mag,pre=353"	30																																																																																						0
-> coral ring	1			0					3	"rin,mag"	gpy	rvs					"rin,mag,pre=392"	30																																																																																						0
-> jade ring	1			0					3	"rin,mag"	gpg	yps					"rin,mag,pre=412"	30																																																																																						0
-> savage polearm	1			0					4	kri	gemd	staf	belt				"pole,mag,pre=191"	50		60																																																																																				0
-> shield of spikes	1			0					4	"shld,mag"	"gemz,qty=2"	spc					"usetype,mag,suf=162"	30		60																																																																																				0
-> sword of the leech	1			0					6	"swor,mag"	gemr	"hpot,qty=4"					"usetype,mag,suf=352"	30		60																																																																																				0
magic weapon	1			100					4	"weap,mag"	"mpot,qty=3"						"usetype,mag"		50	50																																																																																				0
magic armor	1			100					4	"armo,mag"	"mpot,qty=3"						"usetype,mag"		50	50																																																																																				0
magic amulet	1			100					4	"amu,mag"	"mpot,qty=3"						"usetype,mag"		50	50																																																																																				0
magic ring	1			100					4	"rin,mag"	"mpot,qty=3"						"usetype,mag"		50	50																																																																																				0
magic charm	1			100					4	"char,mag"	"mpot,qty=3"						"usetype,mag"		50	50																																																																																				0
magic jewel	1			100					4	"jew,mag"	"mpot,qty=3"						"usetype,mag"		50	50																																																																																				0
-> 1 low level rare item	1			0					7	"any,rar"	"skz,qty=6"						"usetype,rar"		40	40																																																																																				0
-> 1 high level rare item	1			0					3	"any,rar"	skz	The Stone of Jordan					"usetype,rar"		66	66																																																																																				0
rare weapon	1			100					4	"weap,rar"	"mpot,qty=3"						"usetype,rar"		99																																																																																					0
rare armor	1			100					4	"armo,rar"	"mpot,qty=3"						"usetype,rar"		99																																																																																					0
rare amulet	1			100					4	"amu,rar"	"mpot,qty=3"						"usetype,rar"		99																																																																																					0
rare ring	1			100					4	"rin,rar"	"mpot,qty=3"						"usetype,rar"		99																																																																																					0
rare jewel	1			100					4	"jew,rar"	"mpot,qty=3"						"usetype,rar"		99																																																																																					0
-> hitpower helm	1			100					4	"fhl,mag,upg"	jew	r06	gems				"usetype,crf"		50	50	gethit-skill		44	5	4	thorns			3	7	ac-miss			25	50																																																																					0
-> hitpower boots	1			100					4	"mbt,mag,upg"	jew	r08	gems				"usetype,crf"		50	50	gethit-skill		44	5	4	thorns			3	7	ac-hth			25	60																																																																					0
-> hitpower gloves	1			100					4	"mgl,mag,upg"	jew	r09	gems				"usetype,crf"		50	50	gethit-skill		44	5	4	thorns			3	7	knock			1	1																																																																					0
-> hitpower belt	1			100					4	"tbl,mag,upg"	jew	r07	gems				"usetype,crf"		50	50	gethit-skill		44	5	4	thorns			3	7	dmg-to-mana			5	10																																																																					0
-> hitpower shield	1			100					4	"gts,mag,upg"	jew	r05	gems				"usetype,crf"		50	50	gethit-skill		44	5	4	thorns			3	10	block			5	10																																																																					0
-> hitpower body	1			100					4	"fld,mag,upg"	jew	r04	gems				"usetype,crf"		50	50	gethit-skill		44	5	4	thorns			3	10	balance1			10	20																																																																					0
-> hitpower amulet	1			100					4	"amul,mag"	jew	r10	gems				"usetype,crf"		50	50	gethit-skill		44	5	4	thorns			3	10	howl			5	15																																																																					0
-> hitpower ring	1			100					4	"ring,mag"	jew	r11	gems				"usetype,crf"		50	50	gethit-skill		44	5	4	thorns			3	6	dex			1	5																																																																					0
-> hitpower weapon	1			100					4	"blun,mag"	jew	r03	gems				"usetype,crf"		50	50	gethit-skill		44	5	4	thorns			3	7	dmg%			35	60																																																																					0
-> blood helm	1			100					4	"hlm,mag,upg"	jew	r08	gemr				"usetype,crf"		50	50	lifesteal			1	3	hp			10	20	deadly			5	10																																																																					0
-> blood boots	1			100					4	"tbt,mag,upg"	jew	r05	gemr				"usetype,crf"		50	50	lifesteal			1	3	hp			10	20	regen			5	10																																																																					0
-> blood gloves	1			100					4	"vgl,mag,upg"	jew	r04	gemr				"usetype,crf"		50	50	lifesteal			1	3	hp			10	20	crush			5	10																																																																					0
-> blood belt	1			100					4	"mbl,mag,upg"	jew	r07	gemr				"usetype,crf"		50	50	lifesteal			1	3	hp			10	20	openwounds			5	10																																																																					0
-> blood shield	1			100					4	"spk,mag,upg"	jew	r06	gemr				"usetype,crf"		50	50	lifesteal			1	3	hp			10	20	thorns			4	7																																																																					0
-> blood body	1			100					4	"plt,mag,upg"	jew	r10	gemr				"usetype,crf"		50	50	lifesteal			1	3	hp			10	20	demon-heal			1	3																																																																					0
-> blood amulet	1			100					4	"amul,mag"	jew	r11	gemr				"usetype,crf"		50	50	lifesteal			1	4	hp			10	20	move1			5	10																																																																					0
-> blood ring	1			100					4	"ring,mag"	jew	r12	gemr				"usetype,crf"		50	50	lifesteal			1	3	hp			10	20	str			1	5																																																																					0
-> blood weapon	1			100					4	"axe,mag"	jew	r09	gemr				"usetype,crf"		50	50	lifesteal			1	4	hp			10	20	dmg%			35	60																																																																					0
-> caster helm	1			100					4	"msk,mag,upg"	jew	r04	gema				"usetype,crf"		50	50	regen-mana			4	10	mana			10	20	manasteal			1	4																																																																					0
-> caster boots	1			100					4	"lbt,mag,upg"	jew	r10	gema				"usetype,crf"		50	50	regen-mana			4	10	mana			10	20	mana%			2	5																																																																					0
-> caster gloves	1			100					4	"lgl,mag,upg"	jew	r09	gema				"usetype,crf"		50	50	regen-mana			4	10	mana			10	20	mana-kill			1	3																																																																					0
-> caster belt	1			100					4	"vbl,mag,upg"	jew	r06	gema				"usetype,crf"		50	50	regen-mana			4	10	mana			10	20	cast1			5	10																																																																					0
-> caster shield	1			100					4	"sml,mag,upg"	jew	r05	gema				"usetype,crf"		50	50	regen-mana			4	10	mana			10	20	block			5	10																																																																					0
-> caster body	1			100					4	"ltp,mag,upg"	jew	r07	gema				"usetype,crf"		50	50	regen-mana			4	10	mana			10	20	mana-kill			1	3																																																																					0
-> caster amulet	1			100					4	"amul,mag"	jew	r08	gema				"usetype,crf"		50	50	regen-mana			4	10	mana			10	20	cast1			5	10																																																																					0
-> caster ring	1			100					4	"ring,mag"	jew	r11	gema				"usetype,crf"		50	50	regen-mana			4	10	mana			10	20	enr			1	5																																																																					0
-> caster weapon	1			100					4	"rod,mag"	jew	r03	gema				"usetype,crf"		50	50	regen-mana			4	10	mana			10	20	mana%			1	5																																																																					0
-> safety helm	1			100					4	"crn,mag,upg"	jew	r06	geme				"usetype,crf"		50	50	red-dmg			1	4	red-mag			1	2	res-ltng			5	10	ac%			10	30																																																																0
-> safety boots	1			100					4	"hbt,mag,upg"	jew	r09	geme				"usetype,crf"		50	50	red-dmg			1	4	red-mag			1	2	res-fire			5	10	ac%			10	30																																																																0
-> safety gloves	1			100					4	"hgl,mag,upg"	jew	r08	geme				"usetype,crf"		50	50	red-dmg			1	4	red-mag			1	2	res-cold			5	10	ac%			10	30																																																																0
-> safety belt	1			100					4	"lbl,mag,upg"	jew	r07	geme				"usetype,crf"		50	50	red-dmg			1	4	red-mag			1	2	res-pois			5	10	ac%			10	30																																																																0
-> safety shield	1			100					4	"kit,mag,upg"	jew	r04	geme				"usetype,crf"		50	50	red-dmg			1	4	red-mag			1	2	res-mag			5	10	ac%			10	30																																																																0
-> safety body	1			100					4	"brs,mag,upg"	jew	r05	geme				"usetype,crf"		50	50	red-dmg			1	4	red-mag			1	2	half-freeze			1	1	ac%			10	30																																																																0
-> safety amulet	1			100					4	"amul,mag"	jew	r10	geme				"usetype,crf"		50	50	red-dmg			1	4	red-mag			1	2	block			1	10																																																																					0
-> safety ring	1			100					4	"ring,mag"	jew	r11	geme				"usetype,crf"		50	50	red-dmg			1	4	red-mag			1	2	vit			1	5																																																																					0
-> safety weapon	1			100					4	"spea,mag"	jew	r12	geme				"usetype,crf"		50	50	red-dmg			1	4	red-mag			1	2	ac%			5	10																																																																					0
set weapon	1			100					4	weap	"r07,qty=3"						"usetype,set"	99																																																																																						0
set armor	1			100					4	armo	"r07,qty=3"						"usetype,set"	99																																																																																						0
set amulet	1			100					4	amu	"r07,qty=3"						"usetype,set"	99																																																																																						0
set ring	1			100					4	rin	"r07,qty=3"						"usetype,set"	99																																																																																						0
set amulet -> set amulet	1			100					1	"amu,set"							"usetype,set"	99																																																																																						0
set ring -> set ring	1			100					1	"rin,set"							"usetype,set"	99																																																																																						0
unique weapon	1			100					4	weap	"r08,qty=3"						"usetype,uni"	99																																																																																						0
unique armor	1			100					4	armo	"r08,qty=3"						"usetype,uni"	99																																																																																						0
unique amulet	1			100					4	amu	"r08,qty=3"						"usetype,uni"	99																																																																																						0
unique ring	1			100					4	rin	"r08,qty=3"						"usetype,uni"	99																																																																																						0
unique small charm	1			100					4	cm1	"r08,qty=3"						Annihilus	99																																																																																						0
unique large charm	1			100					4	cm2	"r08,qty=3"						Hellfire Torch	99																																																																																						0
unique grand charm	1			100					4	cm3	"r08,qty=3"						Gheed's Fortune	99																																																																																						0
unique jewel	1			100					4	jew	"r08,qty=3"						"jew,uni"	99																																																																																						0
unique amulet -> unique amulet	1			100					1	"amu,uni"							"amu,uni"	99																																																																																						0
unique ring -> unique ring	1			100					1	"rin,uni"							"rin,uni"	99																																																																																						0
unique jewel -> unique jewel	1			100					1	"jew,uni"							"jew,uni"	99																																																																																						0
cheat weapon	1			100					2	weap	isc						useitem				aura		123	25	25	charged		91	82	60	hit-skill		87	100	1																																																																					0
cheat arrows	1			100					2	aqv	isc						useitem				pierce			100	100	knock		1	1																																																																											0
cheat bolts	1			100					2	cqv	isc						useitem				explosivearrow			13	13																																																																															0
cheat gloves	1			100					2	glov	isc						useitem				str/lvl		40																																																																																	0
cheat belt	1			100					2	belt	isc						useitem				aura		120	25	25																																																																															0
cheat boots	1			100					2	boot	isc						useitem				charged		54	50	7	charged		258	50	7	nofreeze			1	1	half-freeze			1	1																																																																0
cheat armor	1			100					2	armo	isc						useitem				hp			450	450	hp/lvl		40			hp%			50	50	vit			95	95	vit/lvl		40																																																													0
